playerID,H,2B,3B,HR,AB,1B,Total_Bases,Slugging_Percentage
napolmi01,844,169,8,201,3476,466,1632,0.46950517836593786
adamsma01,609,127,6,116,2336,360,1096,0.4691780821917808
polloaj01,722,159,30,89,2585,444,1208,0.46731141199226306
turnetr01,566,103,25,63,1944,375,908,0.4670781893004115
mossbr01,586,122,9,145,2487,310,1161,0.46682750301568154
dejonpa01,360,82,3,74,1436,201,670,0.46657381615598886
cuddymi01,731,160,14,90,2554,467,1189,0.46554424432263114
morsemi01,602,118,7,99,2217,378,1031,0.465042850699143
longoev01,1417,307,23,237,5351,850,2481,0.46365165389646795
scottlu01,306,75,4,59,1223,168,566,0.4627964022894522
altuvjo01,1568,299,28,128,4985,1113,2307,0.46278836509528587
croncj01,601,120,6,114,2325,361,1075,0.46236559139784944
carpema01,1092,284,27,148,4056,633,1874,0.4620315581854043
youklke01,348,80,9,57,1336,202,617,0.46182634730538924
duvalad01,414,96,10,97,1780,211,821,0.46123595505617976
murphda08,1367,321,22,121,4546,903,2095,0.4608446986361637
teixema01,695,142,2,167,2913,384,1342,0.4606934431857192
wrighda03,794,168,13,102,2813,511,1294,0.4600071098471383
jonesad01,1647,287,18,251,5920,1091,2723,0.4599662162162162
tomasya01,295,60,5,48,1108,182,509,0.45938628158844763
trumbma01,1018,182,11,218,4085,607,1876,0.45924112607099143
diazal02,363,83,4,51,1322,225,607,0.45915279878971255
martijo08,344,57,3,41,1156,243,530,0.458477508650519
ramirha01,1063,205,10,168,3910,680,1792,0.45831202046035807
poseybu01,1378,270,9,140,4558,959,2086,0.4576568670469504
moncayo01,347,75,13,50,1307,209,598,0.4575363427697016
bourju01,433,71,2,92,1714,268,784,0.4574095682613769
davisch02,977,187,2,257,4240,531,1939,0.457311320754717
berkmla01,330,63,5,53,1229,209,562,0.45728234336859236
guerrvl01,341,57,2,42,1155,240,528,0.45714285714285713
rodrial01,584,103,4,113,2262,364,1034,0.45711759504862953
cartech02,536,107,5,158,2469,266,1127,0.45646010530579184
grandcu01,1098,221,38,242,4657,597,2121,0.4554434185097702
ozunama01,963,162,20,148,3536,633,1609,0.4550339366515837
morneju01,710,159,10,84,2510,457,1141,0.4545816733067729
lindad01,885,175,8,143,3314,559,1505,0.45413397706698855
willijo03,499,105,4,108,2063,282,936,0.45370819195346584
santado01,417,84,2,75,1610,256,730,0.453416149068323
pencehu01,1314,234,36,175,4732,869,2145,0.4532967032967033
jonesch06,320,77,1,42,1159,200,525,0.45297670405522
realmjt01,703,150,19,84,2526,450,1143,0.4524940617577197
howarry01,725,141,10,160,3020,414,1366,0.452317880794702
healyry01,394,80,0,69,1507,245,681,0.45189117451891175
martest01,1047,192,42,108,3647,705,1647,0.45160405812996984
bogaexa01,1022,228,14,107,3545,673,1599,0.4510578279266573
shawtr01,480,106,3,99,1972,272,889,0.45081135902636915
canhama01,356,73,7,67,1430,209,644,0.45034965034965035
frazito01,1019,202,14,214,4200,589,1891,0.4502380952380952
colvity01,287,63,21,49,1198,154,539,0.44991652754590983
santaca01,1284,294,16,232,5127,742,2306,0.4497756972888629
gennesc01,773,149,16,87,2704,521,1215,0.4493343195266272
schoojo01,751,153,3,133,2917,462,1309,0.44874871443263625
werthja01,945,208,9,136,3519,592,1579,0.44870701903949983
pearcst01,491,106,6,83,1914,296,858,0.4482758620689655
dudalu01,741,171,4,156,3098,410,1388,0.44803098773402195
marteke01,555,108,28,54,1968,365,881,0.4476626016260163
beltbr01,957,231,32,129,3662,565,1639,0.4475696340797378
alvarpe01,704,131,6,162,2980,405,1333,0.44731543624161074
piscost01,545,124,9,78,2059,334,921,0.44730451675570665
martivi01,1182,220,1,135,4051,826,1809,0.44655640582572204
grandya01,673,136,7,141,2793,389,1246,0.44611528822055135
merriwh01,655,138,22,49,2211,446,984,0.4450474898236092
ethiean01,796,171,17,87,2836,521,1262,0.44499294781382226
hunteto01,946,176,10,118,3363,642,1496,0.4448409158489444
keplema01,469,114,8,92,1970,255,875,0.44416243654822335
polanjo01,472,104,18,45,1682,305,747,0.4441141498216409
morelmi01,932,199,8,166,3706,559,1645,0.4438747976254722
rolensc01,267,71,7,33,1017,156,451,0.44346116027531957
ruggiju01,325,68,4,51,1250,202,554,0.4432
seageky01,1218,268,13,198,4755,739,2106,0.44290220820189274
schebsc01,294,58,4,61,1227,171,543,0.44254278728606355
doziebr01,1053,231,21,192,4301,609,1902,0.44222273889793073
beninan01,498,118,13,51,1798,316,795,0.4421579532814238
perezsa02,942,177,10,141,3537,614,1562,0.44161718970879277
moustmi01,1041,226,6,182,4134,627,1825,0.44146105466860186
brantmi02,1339,284,21,109,4518,925,1992,0.4409030544488712
tayloch03,448,111,20,51,1707,266,752,0.44053895723491504
moralke01,1022,192,4,167,3913,659,1723,0.4403271147457194
rasmuco01,772,161,19,150,3230,442,1421,0.43993808049535604
odorro01,726,142,26,136,3020,422,1328,0.43973509933774835
lambja01,466,96,21,81,1929,268,847,0.439087610160705
chiriro01,411,97,4,85,1758,225,771,0.43856655290102387
smithse01,803,197,26,107,3131,473,1373,0.4385180453529224
choosh01,1322,258,17,176,4885,871,2142,0.4384851586489253
byrdma01,790,157,16,99,2913,518,1276,0.43803638860281496
butlebi03,1078,226,2,107,3725,743,1629,0.43731543624161073
travide01,320,78,4,35,1169,203,511,0.437125748502994
dunnad01,530,104,2,146,2466,278,1076,0.43633414436334145
escobed01,819,182,29,106,3156,502,1377,0.43631178707224333
myerswi01,703,155,10,114,2798,424,1220,0.43602573266619016
ramoswi01,881,140,2,123,3199,616,1394,0.4357611753673023
swishni01,699,155,5,112,2757,427,1200,0.4352557127312296
craigal01,506,107,3,59,1831,337,796,0.4347351174221737
mazarno01,518,95,7,79,1988,337,864,0.4346076458752515
reynoma01,902,175,6,209,3949,512,1716,0.43454038997214484
anderti01,570,108,13,64,2062,385,896,0.43452958292919497
jonesga02,626,155,10,99,2533,362,1098,0.4334780892222661
hosmeer01,1451,266,20,167,5223,998,2258,0.43231859084817154
florewi01,572,114,2,77,2131,379,921,0.4321914594087283
reddijo01,1062,193,32,138,4010,699,1733,0.43216957605985035
pedrodu01,1225,249,11,98,4143,867,1790,0.4320540671011344
hafnetr01,304,59,3,50,1202,192,519,0.4317803660565724
beckhti01,402,75,15,63,1614,249,696,0.4312267657992565
francma02,583,110,4,102,2338,367,1007,0.43071000855431996
huffau01,308,66,6,39,1168,197,503,0.4306506849315068
larocad01,665,135,6,119,2716,405,1169,0.43041237113402064
crawfca02,635,124,31,51,2263,429,974,0.43040212107821474
ibanera01,528,115,14,89,2180,310,938,0.43027522935779816
wellsve01,426,84,7,78,1762,257,758,0.4301929625425653
sandopa01,1009,207,15,120,3735,667,1606,0.4299866131191432
kendrho01,1324,258,30,103,4540,933,1951,0.42973568281938324
gregodi01,816,145,19,110,3096,542,1329,0.42926356589147285
cabreme01,1444,293,33,108,4955,1010,2127,0.429263370332997
gomezca01,939,194,29,133,3707,583,1590,0.4289182627461559
semiema01,783,161,21,108,3055,493,1310,0.4288052373158756
walkene01,1208,234,22,149,4508,803,1933,0.428793256433008
raburry01,461,113,8,69,1862,271,797,0.4280343716433942
garciav01,762,113,16,96,2792,537,1195,0.4280085959885387
cabreas01,1349,300,19,165,5099,865,2182,0.42792704451853303
chiselo01,578,132,10,64,2159,372,922,0.4270495599814729
mccanbr01,967,138,3,191,3944,635,1684,0.42697768762677485
kinslia01,1443,294,30,174,5433,945,2319,0.4268360022087245
dietrde01,524,106,21,79,2130,318,909,0.4267605633802817
joycema01,794,184,12,130,3262,468,1392,0.42673206621704474
morrilo01,789,162,21,139,3306,467,1410,0.426497277676951
vogtst01,480,106,11,67,1898,296,809,0.4262381454162276
hernaen02,398,86,11,66,1652,235,704,0.4261501210653753
hairssc01,238,52,4,48,1038,134,442,0.4258188824662813
castiwe01,626,126,1,98,2462,401,1048,0.4256701868399675
valenda01,795,154,12,96,2963,533,1261,0.42558218022274724
anderbr06,303,74,6,31,1133,192,482,0.42541924095322153
desmoia01,1409,270,35,177,5360,927,2280,0.4253731343283582
youngde03,657,127,4,71,2367,455,1005,0.42458808618504434
calhoko01,884,167,17,140,3547,560,1505,0.4243022272342825
molinya01,1367,276,5,121,4755,965,2016,0.42397476340694007
vicieda01,425,73,7,66,1675,279,710,0.42388059701492536
riosal01,874,173,27,85,3202,589,1356,0.42348532167395375
kubelja01,448,89,10,69,1805,280,764,0.4232686980609418
santada01,414,83,22,41,1569,268,664,0.42319949012109626
youngch04,710,185,10,120,3013,395,1275,0.423166279455692
victosh01,663,118,38,64,2479,443,1049,0.42315449778136344
weeksri01,652,142,13,101,2655,396,1123,0.42297551789077215
freesda01,1031,195,7,112,3727,717,1576,0.4228602092836061
herreod01,630,122,16,60,2280,432,964,0.42280701754385963
lemahdj01,1223,196,33,75,4047,919,1710,0.4225352112676056
youngmi02,713,130,17,48,2417,518,1021,0.4224244931733554
polangr01,602,138,17,78,2390,369,1008,0.4217573221757322
fowlede01,1161,222,72,119,4471,748,1884,0.4213822411093715
peraljh01,937,198,10,106,3498,623,1473,0.42109777015437394
gyorkje01,630,108,5,112,2576,405,1084,0.42080745341614906
sotoge01,380,85,1,71,1617,223,680,0.4205318491032777
smoakju01,930,189,2,191,4034,548,1696,0.42042637580565195
reyesjo01,1178,225,58,82,4199,813,1765,0.4203381757561324
fraziad01,398,84,16,28,1424,270,598,0.4199438202247191
gomesya01,623,137,6,99,2548,381,1069,0.4195447409733124
doumiry01,452,100,4,58,1750,290,734,0.41942857142857143
zobribe01,1311,303,33,125,4901,850,2055,0.4193021832279127
millebr02,573,109,26,88,2381,350,998,0.4191516169676606
lawribr01,578,112,13,71,2217,382,929,0.4190347316193054
murphda07,679,138,10,69,2493,462,1044,0.4187725631768953
drurybr01,365,96,4,47,1457,218,610,0.4186684969114619
ellsbja01,992,185,29,84,3552,694,1487,0.41863738738738737
maybejo02,314,80,3,52,1329,179,556,0.418359668924003
gonzama01,762,158,8,91,2891,505,1209,0.41819439640262884
eatonad02,863,146,43,56,3026,618,1263,0.4173826834104428
souzast01,371,68,7,70,1590,226,663,0.4169811320754717
lowrije01,966,232,14,100,3663,620,1526,0.4165984165984166
kipnija01,1120,252,23,123,4290,722,1787,0.41655011655011653
lucrojo01,1128,216,24,108,4121,780,1716,0.416403785488959
johnske05,701,133,18,110,2882,440,1200,0.4163775156141568
kiermke01,589,108,41,68,2361,372,983,0.4163490046590428
heltoto01,385,83,3,44,1456,255,606,0.41620879120879123
saltaja01,464,123,5,87,2063,249,858,0.41589917595734366
rossco01,506,112,5,60,1947,329,808,0.4149974319465845
ludwiry01,473,103,3,67,1888,300,783,0.4147245762711864
phillbr01,1298,237,14,117,4617,930,1914,0.41455490578297594
buxtoby01,296,74,17,38,1250,167,518,0.4144
davisik02,496,117,2,81,2076,296,860,0.4142581888246628
castrst01,1617,296,39,133,5773,1149,2390,0.4139961891564178
bakerje03,268,58,8,28,1029,174,426,0.4139941690962099
cainlo01,1122,206,24,78,3894,814,1610,0.41345659989727784
heisech01,380,69,12,62,1594,237,659,0.4134253450439147
ugglada01,547,99,6,114,2421,328,1000,0.41305245766212306
gordoal01,1309,276,21,149,5028,863,2074,0.4124900556881464
heywaja01,1286,243,34,144,4920,865,2029,0.41239837398373985
mauerjo01,1279,270,15,71,4348,923,1792,0.41214351425942963
arencjp01,333,67,4,80,1573,182,648,0.41195168467895743
darnatr01,415,81,5,63,1688,266,695,0.41172985781990523
narvaom01,293,40,1,34,1062,218,437,0.4114877589453861
utleych01,907,194,32,98,3547,583,1459,0.4113335212855935
sanchga01,500,124,4,59,1969,313,809,0.41086846114779074
wietema01,887,174,4,137,3605,572,1480,0.4105409153952843
leeca01,455,94,6,51,1740,304,714,0.4103448275862069
plouftr01,710,155,10,106,2933,439,1203,0.4101602454824412
bradlja02,638,151,23,91,2708,373,1108,0.4091580502215657
pierzaj01,792,151,8,77,2912,556,1190,0.40865384615384615
hundlni01,658,147,17,80,2643,414,1079,0.40824820279984864
villajo01,701,132,15,78,2689,476,1097,0.4079583488285608
jasojo01,571,143,12,55,2214,361,903,0.4078590785907859
gomesjo01,463,80,4,76,1911,303,779,0.4076399790685505
solarya01,620,124,6,75,2407,415,981,0.4075612796011633
ruppca01,240,57,2,39,1027,142,418,0.4070107108081792
reimono01,239,43,5,41,1020,150,415,0.4068627450980392
johnsch05,771,154,10,63,2789,544,1134,0.40659734671925424
segurje01,1181,191,40,76,4135,874,1680,0.4062877871825877
drewst01,597,144,29,73,2507,351,1018,0.4060630235341045
rosaram01,360,60,19,28,1335,253,542,0.4059925093632959
mesorde01,325,66,2,58,1402,199,569,0.405848787446505
pradoma01,1303,256,22,86,4594,939,1861,0.40509360034828035
browndo01,391,73,9,54,1591,255,644,0.404776869893149
hillaa01,817,174,14,98,3244,531,1313,0.40474722564734894
gardnbr01,1259,219,60,121,4845,859,1961,0.40474716202270383
markani01,1651,338,14,111,5807,1188,2350,0.4046840020664715
pillake01,798,193,10,76,3062,519,1239,0.4046374918354017
parrage01,1180,243,34,83,4306,820,1740,0.4040873200185787
nunezed02,775,148,19,58,2811,550,1135,0.40377090003557453
olivomi01,303,52,8,49,1283,194,518,0.40374123148869834
alonsyo01,872,181,2,100,3362,589,1357,0.4036287923854848
saundmi01,543,122,16,81,2333,324,940,0.40291470210030006
almoral01,327,62,4,28,1194,233,481,0.4028475711892797
schiena01,395,86,16,46,1618,247,651,0.40234857849196537
gutiefr01,410,78,4,57,1660,271,667,0.4018072289156627
deazaal01,631,122,31,51,2411,427,968,0.40149315636665284
montemi01,749,143,6,95,2962,505,1189,0.4014179608372721
harrijo05,797,161,28,53,2924,555,1173,0.4011627906976744
hicksaa01,506,89,10,82,2148,325,861,0.40083798882681565
altheaa01,222,54,10,37,1016,121,407,0.4005905511811024
venabwi01,603,100,35,67,2433,401,974,0.40032881216605015
boescbr01,394,79,7,48,1577,260,631,0.40012682308180086
rossda01,236,54,2,39,1028,141,411,0.39980544747081714
paganan01,932,175,39,49,3332,669,1332,0.3997599039615846
headlch01,1102,221,12,109,4196,760,1674,0.3989513822688275
francje02,630,132,13,72,2518,413,1004,0.3987291501191422
cozarza01,764,158,24,87,3088,495,1231,0.39863989637305697
matsuhi01,276,53,1,35,1094,187,436,0.39853747714808047
hardyjj01,945,187,6,113,3730,639,1483,0.39758713136729223
lasteto01,305,58,2,26,1120,219,445,0.39732142857142855
uribeju01,583,116,4,72,2325,391,923,0.39698924731182794
ruizca01,668,153,3,49,2454,463,974,0.39690301548492257
damonjo01,344,71,14,28,1328,231,527,0.39683734939759036
wiggity01,324,63,3,48,1354,210,537,0.396602658788774
uptonbj01,754,154,23,115,3276,462,1299,0.3965201465201465
crispco01,712,142,26,71,2824,473,1119,0.39624645892351273
jacksau01,1145,218,53,65,4200,809,1664,0.3961904761904762
gonzaal02,331,76,5,43,1383,207,546,0.3947939262472885
zuninmi01,435,96,3,104,2151,232,849,0.3947001394700139
dejesda01,575,124,23,43,2217,385,874,0.39422643211547137
margoma01,347,67,19,33,1399,228,551,0.39385275196568975
profaju01,378,80,11,52,1616,235,636,0.3935643564356436
flowety01,564,104,5,85,2371,370,933,0.39350485027414595
scutama01,628,119,8,27,2146,474,844,0.3932898415657036
taylomi02,377,81,8,48,1572,240,618,0.3931297709923664
spande01,1216,233,55,57,4401,871,1730,0.3930924789820495
jennide01,508,99,22,55,2076,332,816,0.3930635838150289
denorch01,529,91,17,38,1954,383,768,0.3930399181166837
penaca01,370,78,6,84,1813,202,712,0.392719249862107
iannech01,603,132,4,101,2667,366,1046,0.3922009748781402
snidetr01,355,80,6,43,1469,226,576,0.39210347174948945
gillaco01,356,73,14,33,1419,236,556,0.3918252290345314
avilaal01,671,140,8,98,2861,425,1121,0.3918210415938483
russead02,480,100,9,60,1987,311,778,0.39154504277805735
valbulu01,606,139,6,104,2731,357,1069,0.39143170999633836
middlwi01,262,51,4,43,1150,164,450,0.391304347826087
martiru01,860,153,2,142,3688,563,1443,0.3912689804772234
inciaen01,835,134,27,39,2922,635,1140,0.39014373716632444
castrja01,619,148,9,86,2674,376,1043,0.3900523560209424
loneyja01,948,183,4,63,3406,698,1328,0.38990017615971817
johnsre02,286,70,7,13,1049,196,409,0.38989513822688276
suzukku01,960,200,4,102,3781,654,1474,0.3898439566252314
riverju01,301,57,1,35,1194,208,465,0.38944723618090454
crawfbr01,1055,222,38,98,4230,697,1647,0.3893617021276596
overbly01,419,106,4,49,1747,260,680,0.38923869490555235
spangco01,320,49,15,29,1250,227,486,0.3888
wallabr01,305,68,3,40,1284,194,499,0.3886292834890966
wongko01,655,120,23,52,2516,460,977,0.3883147853736089
preslal01,369,50,19,29,1401,271,544,0.3882940756602427
stubbdr01,639,101,19,84,2654,435,1030,0.38809344385832706
guyerbr01,323,72,5,32,1291,214,501,0.38807126258714175
mercejo03,762,166,15,64,2966,517,1150,0.3877275792312879
aokino01,774,135,22,33,2716,584,1052,0.3873343151693667
ahmedni01,475,102,19,55,2014,299,780,0.3872889771598808
buckjo01,394,68,2,64,1699,260,658,0.38728663919952916
mccanja02,488,84,9,58,1975,337,764,0.3868354430379747
abreubo01,359,91,3,32,1427,233,552,0.38682550805886473
gamelbe01,296,61,9,20,1125,206,435,0.38666666666666666
perezhe01,434,74,11,45,1720,304,665,0.3866279069767442
betanyu01,416,85,7,49,1718,275,662,0.3853317811408615
swansda01,387,81,10,40,1578,256,608,0.385297845373891
roberry01,278,54,2,38,1168,184,450,0.3852739726027397
torrean02,367,101,17,25,1501,224,577,0.3844103930712858
galvifr01,849,151,26,88,3424,584,1316,0.38434579439252337
infanom01,869,146,32,45,3159,646,1214,0.3842988287432732
rutlejo01,284,51,14,20,1101,199,423,0.38419618528610355
rodrise01,539,116,13,76,2367,334,909,0.3840304182509506
panikjo01,657,121,19,38,2422,479,930,0.38398018166804293
vazquch01,360,72,4,33,1404,251,539,0.3839031339031339
ramiral03,1098,213,14,79,4112,792,1576,0.3832684824902724
phegljo01,250,67,1,34,1100,148,421,0.38272727272727275
coghlch01,504,118,20,44,2076,322,794,0.38246628131021193
rolliji01,826,161,20,85,3353,560,1282,0.38234416940053684
cervefr01,564,96,16,37,2104,415,803,0.38165399239543724
hernace02,807,113,27,46,2915,621,1112,0.38147512864494
keppije01,485,82,3,25,1701,375,648,0.38095238095238093
norride01,453,98,4,63,1967,288,748,0.3802745297407219
marisja01,384,77,10,54,1691,243,643,0.38024837374334713
duffyma01,456,74,9,22,1616,351,614,0.37995049504950495
simmoan01,1029,181,23,67,3836,758,1457,0.37982273201251304
navada01,452,103,2,29,1701,318,646,0.37977660199882424
furcara01,324,56,11,21,1228,236,465,0.3786644951140065
espinda01,644,139,12,98,2910,395,1101,0.3783505154639175
cuthbch01,269,53,2,27,1076,187,407,0.37825278810408924
davisra01,885,182,32,55,3436,616,1296,0.37718277066356226
navardi01,387,63,4,44,1565,276,590,0.3769968051118211
tabatjo01,438,81,15,17,1592,325,600,0.3768844221105528
bourjpe01,502,91,37,43,2116,331,796,0.3761814744801512
perezro02,261,50,4,45,1207,162,454,0.376139188069594
rosalad01,312,58,5,44,1362,205,512,0.37591776798825255
ascheco01,290,71,4,32,1238,183,465,0.3756058158319871
candeje01,226,54,5,30,1012,137,380,0.37549407114624506
jayjo02,1074,184,25,36,3774,829,1416,0.3751987281399046
sweenry01,315,72,9,11,1170,223,438,0.37435897435897436
maybica01,882,148,31,66,3446,637,1290,0.3743470690655833
jeterde01,718,106,8,36,2536,568,948,0.37381703470031546
perazjo01,480,67,13,28,1758,372,657,0.37372013651877134
holtbr01,552,108,16,23,2037,405,761,0.37358861070201277
bayja01,273,47,7,37,1192,182,445,0.3733221476510067
andruel01,1595,281,40,67,5783,1207,2157,0.37298979768286356
almonab01,245,58,13,18,1027,156,383,0.3729308666017527
escobyu01,1091,183,8,61,3954,839,1473,0.37253414264036416
grossro01,556,119,8,42,2196,387,817,0.372040072859745
iglesjo01,739,146,12,32,2706,549,1005,0.3713968957871397
barnhtu01,455,91,6,39,1819,319,675,0.37108301264431004
dominma01,294,48,2,42,1272,202,472,0.3710691823899371
sizemgr01,237,63,7,21,1016,146,377,0.37106299212598426
forsylo01,758,149,13,70,3086,526,1143,0.37038237200259233
mcgehca01,610,120,5,51,2419,434,893,0.36916081025217035
aybarer01,1093,209,30,49,4091,805,1509,0.36885846981178194
ackledu01,512,94,18,46,2125,354,780,0.36705882352941177
martile01,617,94,22,58,2532,443,929,0.3669036334913112
smithma05,372,61,27,13,1435,271,526,0.36655052264808363
congeha01,224,50,2,31,1013,141,371,0.36623889437314905
rominau01,247,54,1,25,1033,167,378,0.3659244917715392
owingch01,515,117,24,34,2140,340,782,0.36542056074766355
pachejo01,293,62,4,10,1076,217,393,0.3652416356877323
carreez01,305,45,9,19,1164,232,425,0.3651202749140893
tejadmi01,293,47,0,22,1114,224,406,0.3644524236983842
avilemi01,628,109,8,49,2470,462,900,0.3643724696356275
gordode01,1085,123,54,18,3772,890,1370,0.36320254506892896
descada01,593,126,25,48,2519,394,913,0.3624454148471616
torreyo01,283,57,1,18,1094,207,396,0.3619744058500914
lagarju01,498,97,19,25,1960,357,708,0.36122448979591837
kotchca01,349,56,3,31,1397,259,504,0.360773085182534
hedgeau01,234,43,2,46,1163,143,419,0.36027515047291486
arciaor01,376,59,6,37,1549,274,558,0.3602324080051646
bournmi01,958,151,50,27,3584,730,1290,0.3599330357142857
bernaro01,295,54,7,28,1243,206,447,0.3596138374899437
roberbr01,253,49,6,20,1041,178,374,0.35926993275696445
cedenro02,330,73,10,17,1320,230,474,0.35909090909090907
giavojo01,318,65,11,14,1246,228,447,0.35874799357945425
sanchca01,543,110,24,31,2223,378,794,0.3571749887539361
blancgr01,630,104,34,25,2456,467,877,0.3570846905537459
garcile02,370,54,11,23,1443,282,515,0.3568953568953569
barnebr02,284,56,9,20,1172,199,418,0.35665529010238906
riverre01,279,55,2,38,1269,184,452,0.3561859732072498
bloomwi01,333,53,9,8,1202,263,428,0.3560732113144759
dobbsgr01,297,55,2,20,1171,220,416,0.3552519214346712
beckhgo01,705,159,6,66,3025,474,1074,0.3550413223140496
mclouna01,332,75,8,30,1445,219,513,0.3550173010380623
hairsje02,304,54,4,21,1209,225,429,0.3548387096774194
